strain_id,strain,timepoint,tissue,replicate,log10_tcid50_per_ml
12,A/chicken/Shandong/zc2/2009,3 days,lung,1,2.5
12,A/chicken/Shandong/zc2/2009,3 days,lung,2,2.75
12,A/chicken/Shandong/zc2/2009,3 days,lung,3,2.75
12,A/chicken/Shandong/zc2/2009,3 days,nasal,1,1.75
12,A/chicken/Shandong/zc2/2009,3 days,nasal,2,2.25
12,A/chicken/Shandong/zc2/2009,5 days,lung,1,3.25
12,A/chicken/Shandong/zc2/2009,5 days,lung,2,2.5
12,A/chicken/Shandong/zc2/2009,5 days,lung,3,3.25
12,A/chicken/Shandong/zc2/2009,5 days,nasal,1,2.25
12,A/chicken/Shandong/zc2/2009,5 days,nasal,2,2.25
13,A/chicken/Shandong/22/2008,3 days,lung,1,1.75
13,A/chicken/Shandong/22/2008,3 days,lung,2,0.75
13,A/chicken/Shandong/22/2008,3 days,nasal,1,0.75
13,A/chicken/Shandong/22/2008,3 days,nasal,2,0.75
13,A/chicken/Shandong/22/2008,3 days,nasal,3,0.75
13,A/chicken/Shandong/22/2008,5 days,lung,1,2.25
13,A/chicken/Shandong/22/2008,5 days,lung,2,0.75
13,A/chicken/Shandong/22/2008,5 days,lung,3,0.75
13,A/chicken/Shandong/22/2008,5 days,nasal,1,0.75
13,A/chicken/Shandong/22/2008,5 days,nasal,2,0.75
13,A/chicken/Shandong/22/2008,5 days,nasal,3,0.75
14,A/chicken/Beijing/7/2005,3 days,lung,1,0.75
14,A/chicken/Beijing/7/2005,3 days,lung,2,0.75
14,A/chicken/Beijing/7/2005,3 days,lung,3,1.75
14,A/chicken/Beijing/7/2005,3 days,nasal,1,2.25
14,A/chicken/Beijing/7/2005,3 days,nasal,2,1.75
14,A/chicken/Beijing/7/2005,3 days,nasal,3,1.75
14,A/chicken/Beijing/7/2005,5 days,lung,1,0.75
14,A/chicken/Beijing/7/2005,5 days,lung,2,1.75
14,A/chicken/Beijing/7/2005,5 days,lung,3,0.75
14,A/chicken/Beijing/7/2005,5 days,nasal,1,2.75
14,A/chicken/Beijing/7/2005,5 days,nasal,2,1.75
14,A/chicken/Beijing/7/2005,5 days,nasal,3,2.25
15,A/chicken/Jiangsu/TS/2010,3 days,lung,1,5.25
15,A/chicken/Jiangsu/TS/2010,3 days,lung,2,4.25
15,A/chicken/Jiangsu/TS/2010,3 days,nasal,1,4.25
15,A/chicken/Jiangsu/TS/2010,3 days,nasal,2,2.75
15,A/chicken/Jiangsu/TS/2010,3 days,nasal,3,4.25
15,A/chicken/Jiangsu/TS/2010,5 days,lung,1,3.75
15,A/chicken/Jiangsu/TS/2010,5 days,lung,2,3.75
15,A/chicken/Jiangsu/TS/2010,5 days,lung,3,3.75
15,A/chicken/Jiangsu/TS/2010,5 days,nasal,1,3.75
15,A/chicken/Jiangsu/TS/2010,5 days,nasal,2,4.25
15,A/chicken/Jiangsu/TS/2010,5 days,nasal,3,2.5
16,A/chicken/Shandong/F0506-42/2017,3 days,lung,1,6.25
16,A/chicken/Shandong/F0506-42/2017,3 days,lung,2,6.25
16,A/chicken/Shandong/F0506-42/2017,3 days,lung,3,6.5
16,A/chicken/Shandong/F0506-42/2017,3 days,nasal,1,3.75
16,A/chicken/Shandong/F0506-42/2017,3 days,nasal,2,3.75
16,A/chicken/Shandong/F0506-42/2017,3 days,nasal,3,3.75
16,A/chicken/Shandong/F0506-42/2017,5 days,lung,1,5.25
16,A/chicken/Shandong/F0506-42/2017,5 days,lung,2,5.25
16,A/chicken/Shandong/F0506-42/2017,5 days,lung,3,5.25
16,A/chicken/Shandong/F0506-42/2017,5 days,nasal,1,4.75
16,A/chicken/Shandong/F0506-42/2017,5 days,nasal,2,5.5
16,A/chicken/Shandong/F0506-42/2017,5 days,nasal,3,5.25
17,A/Chicken/Hebei/F-CH/2018,3 days,lung,1,4.5
17,A/Chicken/Hebei/F-CH/2018,3 days,lung,2,4.75
17,A/Chicken/Hebei/F-CH/2018,3 days,lung,3,4.5
17,A/Chicken/Hebei/F-CH/2018,3 days,nasal,1,3.25
17,A/Chicken/Hebei/F-CH/2018,3 days,nasal,2,4.5
17,A/Chicken/Hebei/F-CH/2018,3 days,nasal,3,4.75
17,A/Chicken/Hebei/F-CH/2018,5 days,lung,1,3.75
17,A/Chicken/Hebei/F-CH/2018,5 days,lung,2,3.75
17,A/Chicken/Hebei/F-CH/2018,5 days,lung,3,4.5
17,A/Chicken/Hebei/F-CH/2018,5 days,nasal,1,3.5
17,A/Chicken/Hebei/F-CH/2018,5 days,nasal,2,3.75
17,A/Chicken/Hebei/F-CH/2018,5 days,nasal,3,0.75
18,A/chicken/Shandong/qd1115/2012,3 days,lung,1,4.5
18,A/chicken/Shandong/qd1115/2012,3 days,lung,2,4.75
18,A/chicken/Shandong/qd1115/2012,3 days,lung,3,4.5
18,A/chicken/Shandong/qd1115/2012,3 days,nasal,1,2.75
18,A/chicken/Shandong/qd1115/2012,3 days,nasal,2,4.5
18,A/chicken/Shandong/qd1115/2012,3 days,nasal,3,3.75
18,A/chicken/Shandong/qd1115/2012,5 days,lung,1,4.5
18,A/chicken/Shandong/qd1115/2012,5 days,lung,2,4.5
18,A/chicken/Shandong/qd1115/2012,5 days,lung,3,4.5
18,A/chicken/Shandong/qd1115/2012,5 days,nasal,1,4.75
18,A/chicken/Shandong/qd1115/2012,5 days,nasal,2,4.5
18,A/chicken/Shandong/qd1115/2012,5 days,nasal,3,5.25
19,A/chicken/Liaoning/0517/2013,3 days,lung,1,1.75
19,A/chicken/Liaoning/0517/2013,3 days,lung,2,2.75
19,A/chicken/Liaoning/0517/2013,3 days,lung,3,3.25
19,A/chicken/Liaoning/0517/2013,3 days,nasal,1,1.75
19,A/chicken/Liaoning/0517/2013,3 days,nasal,2,1.75
19,A/chicken/Liaoning/0517/2013,3 days,nasal,3,1.75
19,A/chicken/Liaoning/0517/2013,5 days,lung,1,1.75
19,A/chicken/Liaoning/0517/2013,5 days,lung,2,2.5
19,A/chicken/Liaoning/0517/2013,5 days,lung,3,1.75
19,A/chicken/Liaoning/0517/2013,5 days,nasal,1,2.5
19,A/chicken/Liaoning/0517/2013,5 days,nasal,2,2.25
19,A/chicken/Liaoning/0517/2013,5 days,nasal,3,2.25
20,A/chicken/Hebei/YT/2010,3 days,lung,1,2.25
20,A/chicken/Hebei/YT/2010,3 days,lung,2,3.5
20,A/chicken/Hebei/YT/2010,3 days,lung,3,3.5
20,A/chicken/Hebei/YT/2010,3 days,nasal,1,1.75
20,A/chicken/Hebei/YT/2010,3 days,nasal,2,2.25
20,A/chicken/Hebei/YT/2010,5 days,lung,1,1.75
20,A/chicken/Hebei/YT/2010,5 days,lung,2,2.25
20,A/chicken/Hebei/YT/2010,5 days,lung,3,0.75
20,A/chicken/Hebei/YT/2010,5 days,nasal,1,3.75
20,A/chicken/Hebei/YT/2010,5 days,nasal,2,4.25
20,A/chicken/Hebei/YT/2010,5 days,nasal,3,3.5
21,A/chicken/Tianjin/11/2014,3 days,lung,1,2.25
21,A/chicken/Tianjin/11/2014,3 days,lung,2,3.25
21,A/chicken/Tianjin/11/2014,3 days,lung,3,3.25
21,A/chicken/Tianjin/11/2014,3 days,nasal,1,3.25
21,A/chicken/Tianjin/11/2014,3 days,nasal,2,2.75
21,A/chicken/Tianjin/11/2014,3 days,nasal,3,3.25
21,A/chicken/Tianjin/11/2014,5 days,lung,1,2.5
21,A/chicken/Tianjin/11/2014,5 days,lung,2,2.5
21,A/chicken/Tianjin/11/2014,5 days,lung,3,2.75
21,A/chicken/Tianjin/11/2014,5 days,nasal,1,3.5
21,A/chicken/Tianjin/11/2014,5 days,nasal,2,3.5
21,A/chicken/Tianjin/11/2014,5 days,nasal,3,2.75
22,A/chicken/Shandong/M0515-1/2017,3 days,lung,1,3.25
22,A/chicken/Shandong/M0515-1/2017,3 days,lung,2,4.5
22,A/chicken/Shandong/M0515-1/2017,3 days,lung,3,3.5
22,A/chicken/Shandong/M0515-1/2017,3 days,nasal,1,4.25
